"ID","CODI_ESTACIO","CODI_VARIABLE","DATA_LECTURA","DATA_EXTREM","VALOR_LECTURA","CODI_ESTAT","CODI_BASE"
"D7322506190000","D7","32","25/06/2019 12:00:00 AM",,"21.8","V","SH"
"D7022506190000","D7","2","25/06/2019 12:00:00 AM","25/06/2019 12:29:00 AM","1,009.1","V","SH"
"D7422506190000","D7","42","25/06/2019 12:00:00 AM","25/06/2019 12:08:00 AM","21.7","V","SH"
"D7362506190000","D7","36","25/06/2019 12:00:00 AM",,"0","V","SH"
"D7332506190000","D7","33","25/06/2019 12:00:00 AM",,"81","V","SH"
"D7442506190000","D7","44","25/06/2019 12:00:00 AM","25/06/2019 12:28:00 AM","80","V","SH"
"D7032506190000","D7","3","25/06/2019 12:00:00 AM","25/06/2019 12:13:00 AM","81","V","SH"
"D7302506190000","D7","30","25/06/2019 12:00:00 AM",,"2","V","SH"
"D7312506190000","D7","31","25/06/2019 12:00:00 AM",,"126","V","SH"
"D7502506190000","D7","50","25/06/2019 12:00:00 AM","25/06/2019 12:23:00 AM","4.1","V","SH"
"D7512506190000","D7","51","25/06/2019 12:00:00 AM",,"140","V","SH"
"D7352506190000","D7","35","25/06/2019 12:00:00 AM",,"0","V","SH"
"D7722506190000","D7","72","25/06/2019 12:00:00 AM","25/06/2019 12:00:00 AM","0","V","SH"
"D7342506190000","D7","34","25/06/2019 12:00:00 AM",,"1,009.3","V","SH"
"D7012506190000","D7","1","25/06/2019 12:00:00 AM","25/06/2019 12:03:00 AM","1,009.4","V","SH"
"D7402506190000","D7","40","25/06/2019 12:00:00 AM","25/06/2019 12:28:00 AM","22","V","SH"
"D7422506190030","D7","42","25/06/2019 12:30:00 AM","25/06/2019 12:59:00 AM","21.6","V","SH"
"D7402506190030","D7","40","25/06/2019 12:30:00 AM","25/06/2019 12:31:00 AM","22","V","SH"
"D7442506190030","D7","44","25/06/2019 12:30:00 AM","25/06/2019 12:30:00 AM","80","V","SH"
"D7032506190030","D7","3","25/06/2019 12:30:00 AM","25/06/2019 12:59:00 AM","81","V","SH"
"D7302506190030","D7","30","25/06/2019 12:30:00 AM",,"1.9","V","SH"
"D7312506190030","D7","31","25/06/2019 12:30:00 AM",,"132","V","SH"
"D7502506190030","D7","50","25/06/2019 12:30:00 AM","25/06/2019 12:40:00 AM","3.9","V","SH"
"D7512506190030","D7","51","25/06/2019 12:30:00 AM",,"133","V","SH"
